CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_score,Segment
12403,50,5,427.7,3,1,2,312,Inactive
12405,149,54,1710.39,4,3,4,434,Potential Loyalists
12406,22,105,3415.3,2,4,5,245,Potential Loyalists
12407,50,77,1708.1200000000001,3,4,4,344,Consistent Buyers
12408,33,105,2888.55,2,4,5,245,Potential Loyalists
12409,79,109,11072.67,4,4,5,445,VIP
12410,309,26,693.3299999999999,5,2,3,523,Inactive
12412,75,61,1226.88,4,4,4,444,VIP
12413,67,38,758.1,3,3,3,333,Potential Loyalists
12414,217,18,562.41,5,2,3,523,Inactive
12415,24,716,124914.53,2,5,5,255,Potential Loyalists
12417,3,192,3649.1,1,5,5,155,Inactive
12418,113,34,668.58,4,3,3,433,Potential Loyalists
12420,64,29,600.39,3,2,3,323,Inactive
12421,16,45,807.04,2,3,3,233,Potential Loyalists
12422,96,39,803.5600000000001,4,3,3,433,Potential Loyalists
12423,1,125,1859.31,1,5,4,154,Inactive
12424,163,30,1760.96,4,3,4,434,Potential Loyalists
12425,78,36,777.2,4,3,3,433,Potential Loyalists
12426,195,30,582.73,5,3,3,533,Potential Loyalists
12427,22,31,825.8,2,3,3,233,Potential Loyalists
12428,26,294,7956.46,2,5,5,255,Potential Loyalists
12429,9,97,3750.4,1,4,5,145,Inactive
12430,43,11,256.4,3,1,2,312,Inactive
12431,36,235,6419.95,3,5,5,355,Consistent Buyers
12432,43,108,5059.32,3,4,5,345,Consistent Buyers
12433,1,420,13375.87,1,5,5,155,Inactive
12434,85,50,806.14,4,3,3,433,Potential Loyalists
12435,80,36,7829.89,4,3,5,435,Potential Loyalists
12436,100,16,509.01,4,2,3,423,Inactive
12437,2,200,4951.41,1,5,5,155,Inactive
12438,14,98,2906.85,2,4,5,245,Potential Loyalists
12441,367,11,173.55,5,1,1,511,Inactive
12442,3,12,172.06,1,1,1,111,Inactive
12444,21,177,5005.46,2,5,5,255,Potential Loyalists
12445,22,4,133.4,2,1,1,211,Inactive
12446,58,58,1002.3100000000001,3,4,4,344,Consistent Buyers
12447,243,26,476.49,5,2,2,522,Inactive
12448,44,22,449.45,3,2,2,322,Inactive
12449,22,191,4067.29,2,5,5,255,Potential Loyalists
12450,156,8,197.88,4,1,1,411,Inactive
12451,11,354,9035.52,1,5,5,155,Inactive
12452,17,22,430.57,2,2,2,222,Inactive
12453,134,43,707.09,4,3,3,433,Potential Loyalists
12454,56,15,3528.34,3,2,5,325,Inactive
12455,73,90,2466.86,4,4,5,445,VIP
12456,44,125,3181.04,3,5,5,355,Consistent Buyers
12457,66,63,2363.23,3,4,5,345,Consistent Buyers
12458,71,38,947.4,3,3,4,334,Potential Loyalists
12461,94,35,826.88,4,3,3,433,Potential Loyalists
12462,19,62,1189.59,2,4,4,244,Potential Loyalists
12463,53,83,1344.78,3,4,4,344,Consistent Buyers
12464,10,29,1212.05,1,2,4,124,Inactive
12465,17,47,742.1899999999999,2,3,3,233,Potential Loyalists
12468,188,38,729.5400000000001,5,3,3,533,Potential Loyalists
12471,2,459,19788.65,1,5,5,155,Inactive
12472,32,339,6572.11,2,5,5,255,Potential Loyalists
12473,29,167,3928.0499999999997,2,5,5,255,Potential Loyalists
12474,17,422,7324.09,2,5,5,255,Potential Loyalists
12475,54,36,723.38,3,3,3,333,Potential Loyalists
12476,16,233,6816.42,2,5,5,255,Potential Loyalists
12477,23,300,13219.74,2,5,5,255,Potential Loyalists
12478,4,36,680.99,1,3,3,133,Inactive
12479,11,31,527.2,1,3,3,133,Inactive
12480,28,154,3281.63,2,5,5,255,Potential Loyalists
12481,23,216,5579.82,2,5,5,255,Potential Loyalists
12483,17,75,2484.98,2,4,5,245,Potential Loyalists
12484,33,343,4527.32,2,5,5,255,Potential Loyalists
12488,10,55,1298.66,1,3,4,134,Inactive
12489,336,15,334.93,5,2,2,522,Inactive
12490,5,245,5417.93,1,5,5,155,Inactive
12491,39,26,460.40000000000003,3,2,2,322,Inactive
12492,63,20,263.21000000000004,3,2,2,322,Inactive
12493,166,22,433.74,4,2,2,422,Inactive
12494,16,77,1246.1000000000001,2,4,4,244,Potential Loyalists
12497,82,14,1043.1,4,1,4,414,Inactive
12498,21,23,403.70000000000005,2,2,2,222,Inactive
12500,23,61,4257.82,2,4,5,245,Potential Loyalists
12501,337,149,2169.39,5,5,5,555,VIP
12502,96,147,3723.87,4,5,5,455,VIP
12504,18,9,482.04999999999995,2,1,2,212,Inactive
12506,233,23,73.5,5,2,1,521,Inactive
12507,134,22,1304.81,4,2,4,424,Inactive
12508,26,68,397.88,2,4,2,242,Potential Loyalists
12509,284,7,176.5,5,1,1,511,Inactive
12510,143,33,982.5699999999999,4,3,4,434,Potential Loyalists
12512,66,31,132.18,3,3,1,331,Inactive
12513,113,35,612.29,4,3,3,433,Potential Loyalists
12514,267,51,1017.68,5,3,4,534,Potential Loyalists
12515,353,16,383.7,5,2,2,522,Inactive
12516,78,26,1312.06,4,2,4,424,Inactive
12517,28,279,2481.6,2,5,5,255,Potential Loyalists
12518,1,124,2056.89,1,5,5,155,Inactive
12519,64,17,330.84,3,2,2,322,Inactive
12520,79,152,2634.26,4,5,5,455,VIP
12521,143,38,599.68,4,3,3,433,Potential Loyalists
12522,39,12,192.72,3,1,1,311,Inactive
12523,19,106,1789.77,2,4,4,244,Potential Loyalists
12524,9,144,4485.72,1,5,5,155,Inactive
12526,1,71,1316.66,1,4,4,144,Inactive
12527,82,18,348.71000000000004,4,2,2,422,Inactive
12528,9,92,1933.48,1,4,4,144,Inactive
12530,60,66,1662.28,3,4,4,344,Consistent Buyers
12531,15,17,125.22,2,2,1,221,Inactive
12532,30,16,349.83000000000004,2,2,2,222,Inactive
12534,131,63,1089.18,4,4,4,444,VIP
12535,92,34,716.35,4,3,3,433,Potential Loyalists
12536,43,261,12601.830000000002,3,5,5,355,Consistent Buyers
12538,29,21,363.95,2,2,2,222,Inactive
12539,22,273,5568.35,2,5,5,255,Potential Loyalists
12540,20,478,13400.24,2,5,5,255,Potential Loyalists
12541,30,52,981.18,2,3,4,234,Potential Loyalists
12544,36,19,372.7,3,2,2,322,Inactive
12545,75,50,1000.39,4,3,4,434,Potential Loyalists
12546,47,69,1161.5,3,4,4,344,Consistent Buyers
12547,198,8,207.79999999999998,5,1,1,511,Inactive
12548,166,5,95.19999999999999,4,1,1,411,Inactive
12550,79,57,964.83,4,3,4,434,Potential Loyalists
12551,358,10,168.0,5,1,1,511,Inactive
12552,39,20,437.82,3,2,2,322,Inactive
12553,8,191,3692.28,1,5,5,155,Inactive
12556,50,119,599.56,3,4,3,343,Consistent Buyers
12557,16,33,11990.960000000001,2,3,5,235,Potential Loyalists
12558,8,11,269.96,1,1,2,112,Inactive
12559,311,21,561.71,5,2,3,523,Inactive
12560,5,105,2134.01,1,4,5,145,Inactive
12561,303,16,238.85,5,2,1,521,Inactive
12562,8,168,3781.7400000000002,1,5,5,155,Inactive
12564,261,21,456.9,5,2,2,522,Inactive
12565,289,9,145.92,5,1,1,511,Inactive
12566,86,19,351.65,4,2,2,422,Inactive
12567,23,446,9401.28,2,5,5,255,Potential Loyalists
12569,2,188,4124.69,1,5,5,155,Inactive
12571,40,34,519.61,3,3,3,333,Potential Loyalists
12572,9,60,1020.42,1,4,4,144,Inactive
12573,227,28,160.54000000000002,5,2,1,521,Inactive
12574,316,11,218.45,5,1,1,511,Inactive
12576,36,88,1315.83,3,4,4,344,Consistent Buyers
12577,35,146,626.6,3,5,3,353,Consistent Buyers
12578,21,114,2794.51,2,4,5,245,Potential Loyalists
12579,78,29,440.42,4,2,2,422,Inactive
12580,247,24,415.7,5,2,2,522,Inactive
12581,40,15,197.71,3,2,1,321,Inactive
12582,239,22,511.36,5,2,3,523,Inactive
12583,3,247,7281.38,1,5,5,155,Inactive
12584,4,96,2338.15,1,4,5,145,Inactive
12585,234,87,2040.1,5,4,4,544,VIP
12586,17,11,196.94000000000003,2,1,1,211,Inactive
12587,8,4,144.0,1,1,1,111,Inactive
12588,39,10,214.89999999999998,3,1,1,311,Inactive
12589,29,35,646.68,2,3,3,233,Potential Loyalists
12590,211,68,9864.26,5,4,5,545,VIP
12591,317,26,452.84999999999997,5,2,2,522,Inactive
12592,92,18,437.6,4,2,2,422,Inactive
12593,109,21,418.09999999999997,4,2,2,422,Inactive
12594,38,118,3338.2200000000003,3,4,5,345,Consistent Buyers
12596,51,27,618.27,3,2,3,323,Inactive
12597,19,206,3811.22,2,5,5,255,Potential Loyalists
12598,10,132,3023.08,1,5,5,155,Inactive
12599,29,62,1032.58,2,4,4,244,Potential Loyalists
12600,29,64,2599.04,2,4,5,245,Potential Loyalists
12601,190,28,577.0600000000001,5,2,3,523,Inactive
12602,59,12,153.12,3,1,1,311,Inactive
12603,22,3,739.1999999999999,2,1,3,213,Inactive
12604,79,16,254.18,4,2,2,422,Inactive
12607,60,101,1579.51,3,4,4,344,Consistent Buyers
12609,78,60,1126.85,4,4,4,444,VIP
12610,23,106,2099.54,2,4,5,245,Potential Loyalists
12611,52,65,1193.32,3,4,4,344,Consistent Buyers
12612,74,19,704.0400000000001,4,2,3,423,Inactive
12613,57,153,3344.38,3,5,5,355,Consistent Buyers
12614,278,20,315.6,5,2,2,522,Inactive
12615,2,105,2291.19,1,4,5,145,Inactive
12616,95,32,713.3,4,3,3,433,Potential Loyalists
12617,29,41,352.98,2,3,2,232,Potential Loyalists
12618,22,11,177.31,2,1,1,211,Inactive
12619,16,90,3641.24,2,4,5,245,Potential Loyalists
12620,15,92,1339.41,2,4,4,244,Potential Loyalists
12621,2,467,13689.67,1,5,5,155,Inactive
12622,232,11,180.1,5,1,1,511,Inactive
12623,276,18,305.1,5,2,2,522,Inactive
12624,106,38,641.13,4,3,3,433,Potential Loyalists
12625,212,86,2683.82,5,4,5,545,VIP
12626,23,294,6620.48,2,5,5,255,Potential Loyalists
12627,11,230,4478.53,1,5,5,155,Inactive
12628,4,41,786.46,1,3,3,133,Inactive
12630,10,64,1270.88,1,4,4,144,Inactive
12631,57,31,640.5,3,3,3,333,Potential Loyalists
12633,59,101,2163.98,3,4,5,345,Consistent Buyers
12635,90,101,1689.18,4,4,4,444,VIP
12637,67,382,6002.9,3,5,5,355,Consistent Buyers
12638,33,39,671.69,2,3,3,233,Potential Loyalists
12639,239,22,486.1,5,2,2,522,Inactive
12640,24,53,1174.58,2,3,4,234,Potential Loyalists
12641,115,10,185.9,4,1,1,411,Inactive
12642,25,47,1013.26,2,3,4,234,Potential Loyalists
12643,128,24,3344.64,4,2,5,425,Inactive
12644,130,31,477.91,4,3,2,432,Potential Loyalists
12645,34,73,1775.18,3,4,4,344,Consistent Buyers
12646,5,45,1346.97,1,3,4,134,Inactive
12647,22,122,3722.82,2,5,5,255,Potential Loyalists
12648,155,21,318.05,4,2,2,422,Inactive
12649,107,31,623.51,4,3,3,433,Potential Loyalists
12650,3,20,314.44,1,2,2,122,Inactive
12651,335,9,114.0,5,1,1,511,Inactive
12652,331,48,919.98,5,3,3,533,Potential Loyalists
12653,149,43,2209.85,4,3,5,435,Potential Loyalists
12654,11,38,601.98,1,3,3,133,Inactive
12656,17,126,4051.17,2,5,5,255,Potential Loyalists
12657,11,47,1643.18,1,3,4,134,Inactive
12658,19,36,686.05,2,3,3,233,Potential Loyalists
12659,30,5,91.68,2,1,1,211,Inactive
12660,11,13,245.1,1,1,1,111,Inactive
12662,1,230,3849.78,1,5,5,155,Inactive
12664,8,37,4881.88,1,3,5,135,Inactive
12665,325,3,63.0,5,1,1,511,Inactive
12667,58,33,620.13,3,3,3,333,Potential Loyalists
12668,12,161,3807.15,1,5,5,155,Inactive
12669,151,101,2744.0299999999997,4,4,5,445,VIP
12670,10,92,2996.05,1,4,5,145,Inactive
12672,330,10,225.89999999999998,5,1,1,511,Inactive
12673,5,42,610.52,1,3,3,133,Inactive
12674,39,83,1970.6,3,4,4,344,Consistent Buyers
12676,25,45,1331.39,2,3,4,234,Potential Loyalists
12678,42,165,17628.46,3,5,5,355,Consistent Buyers
12679,59,48,1113.02,3,3,4,334,Potential Loyalists
12680,1,52,862.81,1,3,3,133,Inactive
12681,15,638,13787.54,2,5,5,255,Potential Loyalists
12682,4,524,12279.82,1,5,5,155,Inactive
12683,4,344,8476.57,1,5,5,155,Inactive
12684,8,105,2283.63,1,4,5,145,Inactive
12685,28,157,2863.08,2,5,5,255,Potential Loyalists
12686,372,7,89.14,5,1,1,511,Inactive
12688,114,171,4873.8099999999995,4,5,5,455,VIP
12689,26,72,1247.61,2,4,4,244,Potential Loyalists
12690,206,16,389.01,5,2,2,522,Inactive
12691,28,32,1035.8,2,3,4,234,Potential Loyalists
12693,127,39,855.91,4,3,3,433,Potential Loyalists
12694,70,37,869.67,3,3,3,333,Potential Loyalists
12695,7,27,582.1,1,2,3,123,Inactive
12697,29,41,957.59,2,3,4,234,Potential Loyalists
12700,8,268,4939.99,1,5,5,155,Inactive
12701,80,53,797.71,4,3,3,433,Potential Loyalists
12702,20,12,219.0,2,1,1,211,Inactive
12703,71,21,283.55,3,2,2,322,Inactive
12704,7,88,2340.84,1,4,5,145,Inactive
12705,15,334,6868.29,2,5,5,255,Potential Loyalists
12707,292,33,603.42,5,3,3,533,Potential Loyalists
12708,30,157,2712.91,2,5,5,255,Potential Loyalists
12709,15,207,9706.52,2,5,5,255,Potential Loyalists
12710,97,77,1149.02,4,4,4,444,VIP
12712,29,133,4396.13,2,5,5,255,Potential Loyalists
12713,1,38,848.55,1,3,3,133,Inactive
12714,9,259,4708.86,1,5,5,155,Inactive
12715,106,20,343.36,4,2,2,422,Inactive
12716,4,69,1053.49,1,4,4,144,Inactive
12717,151,55,1030.98,4,3,4,434,Potential Loyalists
12718,71,19,238.25,3,2,1,321,Inactive
12719,5,39,644.95,1,3,3,133,Inactive
12720,3,354,5781.73,1,5,5,155,Inactive
12721,32,161,2656.13,2,5,5,255,Potential Loyalists
12722,85,53,997.63,4,3,4,434,Potential Loyalists
12723,4,69,725.07,1,4,3,143,Inactive
12724,5,53,1031.41,1,3,4,134,Inactive
12725,371,24,427.8,5,2,2,522,Inactive
12726,28,124,2609.1,2,5,5,255,Potential Loyalists
12727,11,139,3980.7,1,5,5,155,Inactive
12728,71,46,836.33,3,3,3,333,Potential Loyalists
12729,114,26,453.01,4,2,2,422,Inactive
12731,24,274,18895.91,2,5,5,255,Potential Loyalists
12732,180,12,236.26000000000002,5,1,1,511,Inactive
12733,234,22,383.95,5,2,2,522,Inactive
12734,353,4,110.39999999999999,5,1,1,511,Inactive
12735,315,43,779.5699999999999,5,3,3,533,Potential Loyalists
12736,333,4,234.0,5,1,1,511,Inactive
12738,372,11,155.35,5,1,1,511,Inactive
12739,78,38,1013.04,4,3,4,434,Potential Loyalists
12740,64,27,427.6,3,2,2,322,Inactive
12743,134,131,540.13,4,5,3,453,Consistent Buyers
12744,52,222,21279.29,3,5,5,355,Consistent Buyers
12747,2,103,4196.01,1,4,5,145,Inactive
12748,1,4413,33053.19,1,5,5,155,Inactive
12749,4,199,4090.88,1,5,5,155,Inactive
12750,129,15,275.88,4,2,2,422,Inactive
12752,81,53,4366.78,4,3,5,435,Potential Loyalists
12753,23,197,21429.39,2,5,5,255,Potential Loyalists
12754,236,63,3010.74,5,4,5,545,VIP
12755,281,4,3811.95,5,1,5,515,Inactive
12756,87,4,112.07999999999998,4,1,1,411,Inactive
12757,16,364,7834.650000000001,2,5,5,255,Potential Loyalists
12758,117,97,2791.59,4,4,5,445,VIP
12759,52,95,1531.44,3,4,4,344,Consistent Buyers
12762,8,69,1898.52,1,4,4,144,Inactive
12763,138,18,494.08,4,2,3,423,Inactive
12764,317,45,1693.88,5,3,4,534,Potential Loyalists
12766,4,310,6989.63,1,5,5,155,Inactive
12769,239,32,1143.6,5,3,4,534,Potential Loyalists
12770,211,12,1351.45,5,1,4,514,Inactive
12772,60,55,892.47,3,3,3,333,Potential Loyalists
12775,17,66,1386.04,2,4,4,244,Potential Loyalists
12778,20,50,822.23,2,3,3,233,Potential Loyalists
12779,38,149,3981.36,3,5,5,355,Consistent Buyers
12781,64,25,826.74,3,2,3,323,Inactive
12782,5,103,2330.92,1,4,5,145,Inactive
12783,2,84,2225.91,1,4,5,145,Inactive
12784,9,57,532.8199999999999,1,3,3,133,Inactive
12785,364,14,311.95,5,1,2,512,Inactive
12787,10,20,463.66,1,2,2,122,Inactive
12789,65,4,91.85,3,1,1,311,Inactive
12790,192,21,324.92,5,2,2,522,Inactive
12791,374,2,192.60000000000002,5,1,1,511,Inactive
12792,257,25,400.53999999999996,5,2,2,522,Inactive
12793,335,24,545.48,5,2,3,523,Inactive
12794,53,45,860.41,3,3,3,333,Potential Loyalists
12795,19,14,430.48,2,1,2,212,Inactive
12797,366,13,254.03,5,1,2,512,Inactive
12798,10,8,6977.04,1,1,5,115,Inactive
12802,187,25,427.58,5,2,2,522,Inactive
12808,37,28,483.65000000000003,3,2,2,322,Inactive
12809,178,25,489.31,4,2,3,423,Inactive
12811,261,31,514.85,5,3,3,533,Potential Loyalists
12812,45,15,229.64000000000001,3,2,1,321,Inactive
12814,102,2,125.92,4,1,1,411,Inactive
12815,148,47,1063.46,4,3,4,434,Potential Loyalists
12816,96,29,572.2,4,2,3,423,Inactive
12817,281,4,166.04,5,1,1,511,Inactive
12818,262,14,1542.08,5,2,4,524,Inactive
12820,3,59,942.34,1,4,4,144,Inactive
12821,214,6,92.72,5,1,1,511,Inactive
12822,71,46,948.88,3,3,4,334,Potential Loyalists
12823,75,5,1759.5,4,1,4,414,Inactive
12824,60,25,397.12,3,2,2,322,Inactive
12826,3,91,1474.72,1,4,4,144,Inactive
12827,6,25,430.15000000000003,1,2,2,122,Inactive
12828,3,56,1018.71,1,3,4,134,Inactive
12829,337,11,293.0,5,1,2,512,Inactive
12830,38,38,6814.64,3,3,5,335,Potential Loyalists
12831,262,9,215.05,5,1,1,511,Inactive
12832,32,27,383.03,2,2,2,222,Inactive
12833,145,24,417.38,4,2,2,422,Inactive
12834,283,18,312.38,5,2,2,522,Inactive
12836,59,174,2610.36,3,5,5,355,Consistent Buyers
12837,173,12,134.1,4,1,1,411,Inactive
12838,34,120,671.95,3,4,3,343,Consistent Buyers
12839,3,314,5591.42,1,5,5,155,Inactive
12840,144,113,2726.77,4,4,5,445,VIP
12841,5,414,3991.58,1,5,5,155,Inactive
12842,70,34,1118.99,3,3,4,334,Potential Loyalists
12843,66,103,1702.26,3,4,4,344,Consistent Buyers
12844,29,52,325.96000000000004,2,3,2,232,Potential Loyalists
12845,267,27,354.09,5,2,2,522,Inactive
12847,22,84,843.64,2,4,3,243,Potential Loyalists
12849,31,48,1010.29,2,3,4,234,Potential Loyalists
12851,97,47,131.81,4,3,1,431,Inactive
12852,295,17,311.55,5,2,2,522,Inactive
12853,135,78,1957.1000000000001,4,4,4,444,VIP
12854,79,109,1316.25,4,4,4,444,VIP
12855,373,3,38.1,5,1,1,511,Inactive
12856,8,311,2170.78,1,5,5,155,Inactive
12857,211,46,1106.4,5,3,4,534,Potential Loyalists
12863,52,5,521.2,3,1,3,313,Inactive
12864,138,3,147.12,4,1,1,411,Inactive
12865,26,95,1568.23,2,4,4,244,Potential Loyalists
12866,283,26,559.12,5,2,3,523,Inactive
12867,26,534,4009.34,2,5,5,255,Potential Loyalists
12868,186,107,1607.0600000000002,5,4,4,544,VIP
12871,84,11,380.64,4,1,2,412,Inactive
12872,327,66,599.97,5,4,3,543,Consistent Buyers
12873,282,4,374.0,5,1,2,512,Inactive
12875,143,2,343.2300000000001,4,1,2,412,Inactive
12876,58,85,2218.02,3,4,5,345,Consistent Buyers
12877,4,154,1535.77,1,5,4,154,Inactive
12878,236,47,854.99,5,3,3,533,Potential Loyalists
12879,45,10,573.22,3,1,3,313,Inactive
12881,276,7,298.0,5,1,2,512,Inactive
12882,9,13,1463.04,1,1,4,114,Inactive
12883,25,42,703.47,2,3,3,233,Potential Loyalists
12884,88,7,309.05,4,1,2,412,Inactive
12885,63,71,1175.22,3,4,4,344,Consistent Buyers
12886,68,82,1378.4,3,4,4,344,Consistent Buyers
12888,214,5,354.12,5,1,2,512,Inactive
12890,24,79,376.71999999999997,2,4,2,242,Potential Loyalists
12891,186,3,331.0,5,1,2,512,Inactive
12893,31,31,176.55,2,3,1,231,Inactive
12895,42,22,372.8,3,2,2,322,Inactive
12897,205,4,216.5,5,1,1,511,Inactive
12901,9,116,17654.54,1,4,5,145,Inactive
12902,265,10,138.68,5,1,1,511,Inactive
12904,18,71,496.06,2,4,3,243,Potential Loyalists
12906,12,63,2919.81,1,4,5,145,Inactive
12908,176,2,750.0,4,1,3,413,Inactive
12909,40,91,2178.67,3,4,5,345,Consistent Buyers
12910,23,75,3075.04,2,4,5,245,Potential Loyalists
12912,3,24,1662.3,1,2,4,124,Inactive
12913,5,50,2483.63,1,3,5,135,Inactive
12915,149,22,363.65,4,2,2,422,Inactive
12916,139,103,2944.95,4,4,5,445,VIP
12917,128,2,594.0,4,1,3,413,Inactive
12919,8,50,1335.19,1,3,4,134,Inactive
12920,17,27,162.78,2,2,1,221,Inactive
12921,9,720,16587.09,1,5,5,155,Inactive
12922,161,28,405.38,4,2,2,422,Inactive
12923,64,28,172.82,3,2,1,321,Inactive
12924,88,30,933.7,4,3,4,434,Potential Loyalists
12925,5,45,694.05,1,3,3,133,Inactive
12928,35,84,2062.7000000000003,3,4,5,345,Consistent Buyers
12929,312,8,117.85,5,1,1,511,Inactive
12930,78,25,415.8,4,2,2,422,Inactive
12931,22,82,42055.96,2,4,5,245,Potential Loyalists
12933,24,106,607.53,2,4,3,243,Potential Loyalists
12935,2,129,2160.7,1,5,5,155,Inactive
12936,17,62,1063.9,2,4,4,244,Potential Loyalists
12937,15,120,1504.27,2,4,4,244,Potential Loyalists
12938,26,9,114.14,2,1,1,211,Inactive
12939,64,47,11581.8,3,3,5,335,Potential Loyalists
12940,55,96,899.69,3,4,3,343,Consistent Buyers
12942,131,70,675.6,4,4,3,443,Consistent Buyers
12944,36,30,604.51,3,3,3,333,Potential Loyalists
12945,288,23,462.95,5,2,2,522,Inactive
12947,144,97,1603.99,4,4,4,444,VIP
12948,16,116,2064.95,2,4,5,245,Potential Loyalists
12949,31,215,4167.22,2,5,5,255,Potential Loyalists
12950,2,23,1843.0,1,2,4,124,Inactive
12951,9,63,1064.07,1,4,4,144,Inactive
12952,6,79,1387.79,1,4,4,144,Inactive
12953,10,17,329.85,1,2,2,122,Inactive
12955,1,180,4757.16,1,5,5,155,Inactive
12956,306,19,108.07,5,2,1,521,Inactive
12957,10,238,4017.54,1,5,5,155,Inactive
12962,7,16,266.39,1,2,2,122,Inactive
12963,8,95,1856.63,1,4,4,144,Inactive
12965,89,108,769.8100000000001,4,4,3,443,Consistent Buyers
12966,10,10,160.18,1,1,1,111,Inactive
12967,358,19,1660.9,5,2,4,524,Inactive
12968,112,5,135.95,4,1,1,411,Inactive
12970,7,129,405.47,1,5,2,152,Inactive
12971,4,305,11189.91,1,5,5,155,Inactive
12974,198,8,144.8,5,1,1,511,Inactive
12976,212,22,738.6,5,2,3,523,Inactive
12977,156,9,39.239999999999995,4,1,1,411,Inactive
12980,158,20,7374.900000000001,4,2,5,425,Inactive
12981,30,20,372.21999999999997,2,2,2,222,Inactive
12982,243,28,390.54,5,2,2,522,Inactive
12984,19,4,97.5,2,1,1,211,Inactive
12985,1,76,1239.38,1,4,4,144,Inactive
12987,74,28,558.7,4,2,3,423,Inactive
12988,292,83,505.82,5,4,3,543,Consistent Buyers
12989,3,64,6924.110000000001,1,4,5,145,Inactive
12990,31,13,409.5,2,1,2,212,Inactive
12991,23,31,503.76,2,3,3,233,Potential Loyalists
12993,23,27,414.76,2,2,2,222,Inactive
12994,4,61,974.4200000000001,1,4,4,144,Inactive
12995,85,3,211.32,4,1,1,411,Inactive
12997,22,59,1226.89,2,4,4,244,Potential Loyalists
12999,196,28,455.88,5,2,2,522,Inactive
13000,107,31,534.85,4,3,3,433,Potential Loyalists
13001,4,337,9785.970000000001,1,5,5,155,Inactive
13002,318,7,120.94999999999999,5,1,1,511,Inactive
13003,106,6,149.05,4,1,1,411,Inactive
13004,12,404,5655.91,1,5,5,155,Inactive
13005,174,26,513.7,4,2,3,423,Inactive
13006,56,4,81.57,3,1,1,311,Inactive
13008,323,14,229.46999999999997,5,2,1,521,Inactive
13011,372,3,50.550000000000004,5,1,1,511,Inactive
13012,9,88,1646.8400000000001,1,4,4,144,Inactive
13013,1,219,4810.9400000000005,1,5,5,155,Inactive
13014,11,110,3466.2799999999997,1,4,5,145,Inactive
13015,53,175,3339.64,3,5,5,355,Consistent Buyers
13016,73,47,789.89,4,3,3,433,Potential Loyalists
13017,7,1,204.0,1,1,1,111,Inactive
13018,16,458,7277.7,2,5,5,255,Potential Loyalists
13021,4,131,2616.38,1,5,5,155,Inactive
13023,64,40,689.9,3,3,3,333,Potential Loyalists
13026,1,40,975.36,1,3,4,134,Inactive
13027,114,26,6912.0,4,2,5,425,Inactive
13028,23,45,661.3199999999999,2,3,3,233,Potential Loyalists
13029,31,10,1247.5,2,1,4,214,Inactive
13030,11,92,752.4399999999999,1,4,3,143,Inactive
13032,52,71,1010.18,3,4,4,344,Consistent Buyers
13033,357,11,190.55,5,1,1,511,Inactive
13034,55,37,642.77,3,3,3,333,Potential Loyalists
