Description,Recency,Frequency,Monetary,R,F,M,RFM_score,Segment
200 BENDY SKULL STRAWS,3,41,705.0500000000001,2,3,3,233,Potential products
200 RED + WHITE BENDY STRAWS,2,120,912.27,1,4,3,143,Inactive product or newly launched
3 BIRDS CANVAS SCREEN,131,2,2.04,4,1,1,411,Inactive product or newly launched
3 BLACK CATS W HEARTS BLANK CARD,15,3,4.5600000000000005,3,1,1,311,Inactive product or newly launched
3 DRAWER ANTIQUE WHITE WOOD CABINET,1,187,6124.13,1,5,5,155,Inactive product or newly launched
3 GARDENIA MORRIS BOXED CANDLES,17,73,840.29,3,4,3,343,Selling consistently
3 HEARTS HANGING DECORATION RUSTIC,2,262,8013.71,1,5,5,155,Inactive product or newly launched
3 HOOK HANGER MAGIC GARDEN,72,95,2911.6499999999996,4,4,5,445,MVP
3 HOOK PHOTO SHELF ANTIQUE WHITE,1,304,12160.08,1,5,5,155,Inactive product or newly launched
3 PIECE SPACEBOY COOKIE CUTTER SET,1,299,5026.240000000001,1,5,5,155,Inactive product or newly launched
3 PINK HEN+CHICKS IN BASKET,239,6,15.0,5,1,1,511,Inactive product or newly launched
3 RAFFIA RIBBONS 50'S CHRISTMAS ,2,135,1624.5,1,4,4,144,Inactive product or newly launched
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,2,44,606.28,1,3,3,133,Inactive product or newly launched
3 ROSE MORRIS BOXED CANDLES,3,138,1555.64,2,4,4,244,Potential products
3 STRIPEY MICE FELTCRAFT,1,406,5460.5,1,5,5,155,Inactive product or newly launched
3 TIER CAKE TIN GREEN AND CREAM,4,137,4924.66,2,4,5,245,Potential products
3 TIER CAKE TIN RED AND CREAM,1,136,8737.78,1,4,5,145,Inactive product or newly launched
3 TIER SWEETHEART GARDEN SHELF,17,43,1938.2500000000002,3,3,4,334,Potential products
3 TRADITIONAL COOKIE CUTTERS  SET,324,4,304.20000000000005,5,1,2,512,Inactive product or newly launched
3 TRADITIONAl BISCUIT CUTTERS  SET,3,203,2418.0200000000004,2,5,4,254,Potential products
3 WHITE CHOC MORRIS BOXED CANDLES,2,92,1357.44,1,4,4,144,Inactive product or newly launched
3 WICK CHRISTMAS BRIAR CANDLE ,318,1,7.5,5,1,1,511,Inactive product or newly launched
36 DOILIES DOLLY GIRL,22,74,1294.85,3,4,4,344,Selling consistently
36 DOILIES VINTAGE CHRISTMAS,33,160,7004.799999999999,4,5,5,455,MVP
36 FOIL HEART CAKE CASES,1,173,3814.3700000000003,1,5,5,155,Inactive product or newly launched
36 FOIL STAR CAKE CASES ,1,109,1912.3400000000001,1,4,4,144,Inactive product or newly launched
36 PENCILS TUBE POSY,123,11,33.75,4,2,1,421,Inactive product or newly launched
36 PENCILS TUBE RED RETROSPOT,2,230,4227.26,1,5,5,155,Inactive product or newly launched
36 PENCILS TUBE SKULLS,1,182,2009.43,1,5,4,154,Inactive product or newly launched
36 PENCILS TUBE WOODLAND,53,143,1969.43,4,4,4,444,MVP
3D CHRISTMAS STAMPS STICKERS ,3,106,1361.95,2,4,4,244,Potential products
3D DOG PICTURE PLAYING CARDS,5,61,855.5000000000001,3,3,3,333,Potential products
3D HEARTS  HONEYCOMB PAPER GARLAND,129,34,838.5000000000001,4,3,3,433,Potential products
3D SHEET OF CAT STICKERS,37,44,183.6,4,3,2,432,Potential products
3D SHEET OF DOG STICKERS,11,42,231.98,3,3,2,332,Potential products
3D TRADITIONAL CHRISTMAS STICKERS,2,144,1882.31,1,4,4,144,Inactive product or newly launched
3D VINTAGE CHRISTMAS STICKERS ,2,127,1930.38,1,4,4,144,Inactive product or newly launched
4 BLUE DINNER CANDLES SILVER FLOCK,11,29,216.74999999999997,3,3,2,332,Potential products
4 BURGUNDY WINE DINNER CANDLES,24,11,53.75,4,2,1,421,Inactive product or newly launched
4 IVORY DINNER CANDLES SILVER FLOCK,1,99,913.74,1,4,3,143,Inactive product or newly launched
4 LAVENDER BOTANICAL DINNER CANDLES,5,103,1193.75,3,4,4,344,Selling consistently
4 LILY  BOTANICAL DINNER CANDLES,20,78,848.0,3,4,3,343,Selling consistently
4 PEAR BOTANICAL DINNER CANDLES,1,108,1093.75,1,4,4,144,Inactive product or newly launched
4 PINK DINNER CANDLE SILVER FLOCK,2,30,229.95999999999998,1,3,2,132,Inactive product or newly launched
4 PINK FLOCK CHRISTMAS BALLS,15,11,45.0,3,2,1,321,Inactive product or newly launched
4 ROSE PINK DINNER CANDLES,1,14,163.38,1,2,2,122,Inactive product or newly launched
4 SKY BLUE DINNER CANDLES,1,12,72.5,1,2,2,122,Inactive product or newly launched
4 TRADITIONAL SPINNING TOPS,1,371,5952.83,1,5,5,155,Inactive product or newly launched
4 VANILLA BOTANICAL CANDLES,1,122,1247.5,1,4,4,144,Inactive product or newly launched
4 WILDFLOWER BOTANICAL CANDLES,25,57,471.25,4,3,3,433,Potential products
5 HOOK HANGER MAGIC TOADSTOOL,297,27,964.3499999999999,5,3,4,534,Potential products
5 HOOK HANGER RED MAGIC TOADSTOOL,10,110,4595.099999999999,3,4,5,345,Selling consistently
5 STRAND GLASS NECKLACE AMBER,61,2,12.7,4,1,1,411,Inactive product or newly launched
5 STRAND GLASS NECKLACE AMETHYST,37,1,12.7,4,1,1,411,Inactive product or newly launched
5 STRAND GLASS NECKLACE BLACK,37,3,50.8,4,1,1,411,Inactive product or newly launched
5 STRAND GLASS NECKLACE CRYSTAL,31,9,101.6,4,2,2,422,Inactive product or newly launched
50'S CHRISTMAS PAPER GIFT BAG,1,88,1059.9399999999998,1,4,4,144,Inactive product or newly launched
50CM METAL STRING WITH  7 CLIPS,10,19,163.37,3,2,2,322,Inactive product or newly launched
6 CHOCOLATE LOVE HEART T-LIGHTS,1,114,1985.8600000000001,1,4,4,144,Inactive product or newly launched
6 EGG HOUSE PAINTED WOOD,1,117,2043.04,1,4,4,144,Inactive product or newly launched
6 GIFT TAGS 50'S CHRISTMAS ,2,269,2750.93,1,5,5,155,Inactive product or newly launched
6 GIFT TAGS VINTAGE CHRISTMAS ,1,257,3068.8199999999997,1,5,5,155,Inactive product or newly launched
6 RIBBONS ELEGANT CHRISTMAS ,1,122,2004.9199999999998,1,4,4,144,Inactive product or newly launched
6 RIBBONS EMPIRE  ,1,113,1302.7199999999998,1,4,4,144,Inactive product or newly launched
6 RIBBONS RUSTIC CHARM,1,741,14969.839999999998,1,5,5,155,Inactive product or newly launched
6 RIBBONS SHIMMERING PINKS ,1,76,772.9399999999999,1,4,3,143,Inactive product or newly launched
6 ROCKET BALLOONS ,2,160,1172.9,1,5,4,154,Inactive product or newly launched
60 CAKE CASES DOLLY GIRL DESIGN,1,359,3735.61,1,5,5,155,Inactive product or newly launched
60 CAKE CASES VINTAGE CHRISTMAS,1,479,7405.200000000001,1,5,5,155,Inactive product or newly launched
60 GOLD AND SILVER FAIRY CAKE CASES,215,2,1.1,5,1,1,511,Inactive product or newly launched
60 TEATIME FAIRY CAKE CASES,1,672,8604.62,1,5,5,155,Inactive product or newly launched
6PC WOOD PLATE SET DISPOSABLE,12,16,443.25,3,2,3,323,Inactive product or newly launched
70'S ALPHABET WALL ART,15,15,1043.1,3,2,4,324,Inactive product or newly launched
72 CAKE CASES VINTAGE CHRISTMAS,369,1,13.200000000000001,5,1,1,511,Inactive product or newly launched
72 SWEETHEART FAIRY CAKE CASES,1,515,6252.35,1,5,5,155,Inactive product or newly launched
75 BLACK PETIT FOUR CASES,123,17,23.94,4,2,1,421,Inactive product or newly launched
75 GREEN FAIRY CAKE CASES,4,17,14.850000000000001,2,2,1,221,Inactive product or newly launched
75 GREEN PETIT FOUR CASES,1,33,128.1,1,3,2,132,Inactive product or newly launched
A PRETTY THANK YOU CARD,1,27,179.64,1,3,2,132,Inactive product or newly launched
A4 WALL TIDY BLUE OFFICE,37,5,61.86000000000001,4,1,1,411,Inactive product or newly launched
A4 WALL TIDY RED FLOWERS,37,4,7.37,4,1,1,411,Inactive product or newly launched
ABC TREASURE BOOK BOX ,2,187,4373.26,1,5,5,155,Inactive product or newly launched
ABSTRACT CIRCLE JOURNAL ,13,28,256.65,3,3,2,332,Potential products
ABSTRACT CIRCLES POCKET BOOK,2,43,134.29999999999998,1,3,2,132,Inactive product or newly launched
ABSTRACT CIRCLES SKETCHBOOK ,3,61,483.63,2,3,3,233,Potential products
ACRYLIC GEOMETRIC LAMP,13,9,221.39999999999998,3,2,2,322,Inactive product or newly launched
"ACRYLIC HANGING JEWEL,BLUE",9,25,101.08,3,2,2,322,Inactive product or newly launched
"ACRYLIC HANGING JEWEL,PINK",26,7,66.55,4,1,1,411,Inactive product or newly launched
"ACRYLIC JEWEL ANGEL,PINK",115,2,29.64,4,1,1,411,Inactive product or newly launched
"ACRYLIC JEWEL ICICLE, BLUE",38,3,11.780000000000001,4,1,1,411,Inactive product or newly launched
"ACRYLIC JEWEL ICICLE, PINK",4,17,99.18,2,2,2,222,Inactive product or newly launched
"ACRYLIC JEWEL SNOWFLAKE, PINK",75,5,63.28000000000001,4,1,1,411,Inactive product or newly launched
"ACRYLIC JEWEL SNOWFLAKE,PINK",360,1,15.299999999999999,5,1,1,511,Inactive product or newly launched
ADULT APRON APPLE DELIGHT,4,40,891.9300000000001,2,3,3,233,Potential products
ADVENT CALENDAR GINGHAM SACK,4,167,4775.780000000001,2,5,5,255,Potential products
AFGHAN SLIPPER SOCK PAIR,12,19,1662.95,3,2,4,324,Inactive product or newly launched
AGED GLASS SILVER T-LIGHT HOLDER,1,283,6052.0,1,5,5,155,Inactive product or newly launched
AIRLINE BAG VINTAGE JET SET BROWN,4,96,1043.3,2,4,4,244,Potential products
AIRLINE BAG VINTAGE JET SET RED,4,157,1870.0900000000001,2,5,4,254,Potential products
AIRLINE BAG VINTAGE JET SET WHITE,4,84,812.19,2,4,3,243,Potential products
AIRLINE BAG VINTAGE TOKYO 78,1,249,3468.63,1,5,5,155,Inactive product or newly launched
AIRLINE BAG VINTAGE WORLD CHAMPION ,4,101,935.33,2,4,4,244,Potential products
"AIRLINE LOUNGE,METAL SIGN",2,149,1007.21,1,4,4,144,Inactive product or newly launched
ALARM CLOCK BAKELIKE CHOCOLATE,1,325,6559.26,1,5,5,155,Inactive product or newly launched
ALARM CLOCK BAKELIKE GREEN,1,797,20839.15,1,5,5,155,Inactive product or newly launched
ALARM CLOCK BAKELIKE IVORY,1,470,10259.36,1,5,5,155,Inactive product or newly launched
ALARM CLOCK BAKELIKE ORANGE,46,364,7984.38,4,5,5,455,MVP
ALARM CLOCK BAKELIKE PINK,1,619,18539.09,1,5,5,155,Inactive product or newly launched
ALARM CLOCK BAKELIKE RED ,1,886,25868.95,1,5,5,155,Inactive product or newly launched
ALPHABET HEARTS STICKER SHEET,4,38,311.95,2,3,2,232,Potential products
ALPHABET STENCIL CRAFT,1,165,2999.19,1,5,5,155,Inactive product or newly launched
ALUMINIUM HEART,162,6,74.7,5,1,2,512,Inactive product or newly launched
ALUMINIUM STAMPED HEART,4,126,1852.5500000000002,2,4,4,244,Potential products
AMBER BERTIE GLASS BEAD BAG CHARM,197,1,2.1,5,1,1,511,Inactive product or newly launched
AMBER CHUNKY BEAD BRACELET W STRAP,29,4,71.6,4,1,2,412,Inactive product or newly launched
AMBER CHUNKY GLASS+BEAD NECKLACE,50,6,71.69999999999999,4,1,2,412,Inactive product or newly launched
AMBER DIAMANTE EXPANDABLE RING,77,5,93.5,4,1,2,412,Inactive product or newly launched
AMBER DROP EARRINGS W LONG BEADS,2,5,59.00000000000001,1,1,1,111,Inactive product or newly launched
AMBER FINE BEAD NECKLACE W TASSEL,37,2,17.85,4,1,1,411,Inactive product or newly launched
AMBER GLASS TASSLE BAG CHARM,51,2,23.6,4,1,1,411,Inactive product or newly launched
AMBER GLASS/SHELL/PEARL NECKLACE,37,1,8.95,4,1,1,411,Inactive product or newly launched
AMBER GLASS/SILVER BRACELET,50,7,89.5,4,1,2,412,Inactive product or newly launched
AMETHYST CHUNKY BEAD BRACELET W STR,7,11,187.95,3,2,2,322,Inactive product or newly launched
AMETHYST DIAMANTE EXPANDABLE RING,77,3,55.25,4,1,1,411,Inactive product or newly launched
AMETHYST HOOP EARRING FLORAL LEAF,126,3,11.8,4,1,1,411,Inactive product or newly launched
ANGEL DECORATION 3 BUTTONS ,3,115,1455.84,2,4,4,244,Potential products
ANGEL DECORATION PAINTED ZINC ,7,27,383.95000000000005,3,3,3,333,Potential products
ANGEL DECORATION STARS ON DRESS,1,91,987.42,1,4,4,144,Inactive product or newly launched
ANGEL DECORATION WITH LACE PADDED,100,11,180.2,4,2,2,422,Inactive product or newly launched
ANIMAL STICKERS,3,46,367.29,2,3,3,233,Potential products
ANIMALS AND NATURE WALL ART,23,17,923.97,3,2,3,323,Inactive product or newly launched
ANT COPPER LIME BOUDICCA BRACELET,2,15,222.75,1,2,2,122,Inactive product or newly launched
ANT COPPER PINK BOUDICCA BRACELET,2,9,153.45000000000002,1,2,2,122,Inactive product or newly launched
ANT COPPER RED BOUDICCA BRACELET,2,6,44.550000000000004,1,1,1,111,Inactive product or newly launched
ANT COPPER TURQ BOUDICCA BRACELET,2,12,222.75,1,2,2,122,Inactive product or newly launched
ANT SILVER FUSCHIA BOUDICCA RING,40,7,41.300000000000004,4,1,1,411,Inactive product or newly launched
ANT SILVER LIME GREEN BOUDICCA RING,31,10,79.65,4,2,2,422,Inactive product or newly launched
ANT SILVER PURPLE BOUDICCA RING,40,5,29.500000000000004,4,1,1,411,Inactive product or newly launched
ANT SILVER TURQUOISE BOUDICCA RING,33,1,17.700000000000003,4,1,1,411,Inactive product or newly launched
ANT WHITE WIRE HEART SPIRAL,4,64,1076.66,2,3,4,234,Potential products
ANTIQUE ALL GLASS CANDLESTICK,1,82,1129.1000000000001,1,4,4,144,Inactive product or newly launched
ANTIQUE CREAM CUTLERY CUPBOARD,5,13,178.5,3,2,2,322,Inactive product or newly launched
ANTIQUE CREAM CUTLERY SHELF ,17,18,238.0,3,2,2,322,Inactive product or newly launched
ANTIQUE GLASS DRESSING TABLE POT,1,188,4684.06,1,5,5,155,Inactive product or newly launched
ANTIQUE GLASS HEART DECORATION ,109,28,575.25,4,3,3,433,Potential products
ANTIQUE GLASS PEDESTAL BOWL,1,163,3212.1,1,5,5,155,Inactive product or newly launched
ANTIQUE GLASS PLACE SETTING,23,8,152.5,3,2,2,322,Inactive product or newly launched
ANTIQUE HEART SHELF UNIT,1,68,3879.15,1,3,5,135,Inactive product or newly launched
ANTIQUE IVORY WIRE BOWL SMALL,10,19,241.53000000000003,3,2,2,322,Inactive product or newly launched
ANTIQUE MID BLUE FLOWER EARRINGS,107,2,17.0,4,1,1,411,Inactive product or newly launched
ANTIQUE OLIVE GREEN FLOWER EARRINGS,61,3,21.25,4,1,1,411,Inactive product or newly launched
ANTIQUE OPAL WHITE FLOWER EARRINGS,50,2,8.5,4,1,1,411,Inactive product or newly launched
ANTIQUE RASPBERRY FLOWER EARRINGS,179,1,8.5,5,1,1,511,Inactive product or newly launched
ANTIQUE SILVER BAUBLE LAMP  ,1,78,3437.7000000000003,1,4,5,145,Inactive product or newly launched
ANTIQUE SILVER T-LIGHT GLASS,1,537,15176.42,1,5,5,155,Inactive product or newly launched
ANTIQUE SILVER TEA GLASS ENGRAVED,1,283,9271.84,1,5,5,155,Inactive product or newly launched
ANTIQUE SILVER TEA GLASS ETCHED,196,145,4016.75,5,4,5,545,MVP
ANTIQUE TALL SWIRLGLASS TRINKET POT,1,138,2813.38,1,4,5,145,Inactive product or newly launched
APOTHECARY MEASURING JAR,18,21,751.4000000000001,3,2,3,323,Inactive product or newly launched
APPLE BATH SPONGE,1,125,1397.99,1,4,4,144,Inactive product or newly launched
APRON APPLE DELIGHT,110,62,1286.65,4,3,4,434,Potential products
APRON MODERN VINTAGE COTTON,192,57,927.9499999999999,5,3,3,533,Potential products
AQUA BERTIE GLASS BEAD BAG CHARM,7,3,24.9,3,1,1,311,Inactive product or newly launched
AREA PATROLLED METAL SIGN,1,376,8548.02,1,5,5,155,Inactive product or newly launched
ARMY CAMO BOOKCOVER TAPE,33,4,7.14,4,1,1,411,Inactive product or newly launched
"ART LIGHTS,FUNK MONKEY",1,48,950.45,1,3,4,134,Inactive product or newly launched
ASS COL CIRCLE MOBILE ,187,7,173.15999999999997,5,1,2,512,Inactive product or newly launched
ASS COL LARGE SAND FROG P'WEIGHT,331,7,28.35,5,1,1,511,Inactive product or newly launched
ASS COL SMALL SAND GECKO P'WEIGHT,317,9,11.34,5,2,1,521,Inactive product or newly launched
ASS COLOUR GLOWING TIARAS,4,25,211.95,2,2,2,222,Inactive product or newly launched
ASS DES PHONE SPONGE CRAFT STICKER,5,16,153.09,3,2,2,322,Inactive product or newly launched
ASS FLORAL PRINT MULTI SCREWDRIVER,12,166,1251.61,3,5,4,354,Selling consistently
ASS FLORAL PRINT SPIRIT LEVEL ,3,35,90.13,2,3,2,232,Potential products
ASSORTED BOTTLE TOP  MAGNETS ,1,134,1104.36,1,4,4,144,Inactive product or newly launched
ASSORTED CAKES FRIDGE MAGNETS,22,8,35.75,3,2,1,321,Inactive product or newly launched
ASSORTED CHEESE FRIDGE MAGNETS,121,8,105.95000000000002,4,2,2,422,Inactive product or newly launched
ASSORTED CIRCULAR MOBILE,1,20,119.99999999999999,1,2,2,122,Inactive product or newly launched
ASSORTED COLOUR BIRD ORNAMENT,1,1395,56413.03,1,5,5,155,Inactive product or newly launched
ASSORTED COLOUR LIZARD SUCTION HOOK,2,60,382.92,1,3,3,133,Inactive product or newly launched
ASSORTED COLOUR METAL CAT ,5,26,138.75,3,2,2,322,Inactive product or newly launched
ASSORTED COLOUR MINI CASES,1,366,12107.51,1,5,5,155,Inactive product or newly launched
ASSORTED COLOUR SILK GLASSES CASE,261,1,6.300000000000001,5,1,1,511,Inactive product or newly launched
ASSORTED COLOUR SUCTION CUP HOOK,5,14,37.24,3,2,1,321,Inactive product or newly launched
ASSORTED COLOUR T-LIGHT HOLDER,2,88,1983.17,1,4,4,144,Inactive product or newly launched
ASSORTED COLOURED CIRCLE MOBILE ,2,8,26.88,1,2,1,121,Inactive product or newly launched
ASSORTED COLOURS SILK FAN,7,325,16044.44,3,5,5,355,Selling consistently
ASSORTED CREEPY CRAWLIES,16,90,1073.47,3,4,4,344,Selling consistently
ASSORTED EASTER DECORATIONS  BELLS,20,22,650.28,3,2,3,323,Inactive product or newly launched
ASSORTED EASTER GIFT TAGS,46,58,933.26,4,3,4,434,Potential products
ASSORTED FARMYARD ANIMALS IN BUCKET,205,6,68.06,5,1,1,511,Inactive product or newly launched
"ASSORTED FLOWER COLOUR ""LEIS""",3,103,4871.45,2,4,5,245,Potential products
ASSORTED INCENSE PACK,5,27,760.3199999999999,3,3,3,333,Potential products
ASSORTED LAQUERED INCENSE HOLDERS,143,13,443.76000000000005,5,2,3,523,Inactive product or newly launched
ASSORTED MINI MADRAS NOTEBOOK,54,23,462.6,4,2,3,423,Inactive product or newly launched
ASSORTED MONKEY SUCTION CUP HOOK,8,45,205.02,3,3,2,332,Potential products
ASSORTED SANSKRIT MINI NOTEBOOK,60,6,136.25,4,1,2,412,Inactive product or newly launched
ASSORTED SHAPES PHOTO CLIP SILVER ,1,14,164.51,1,2,2,122,Inactive product or newly launched
ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,1,52,437.16999999999996,1,3,3,133,Inactive product or newly launched
ASSORTED TUTTI FRUTTI BRACELET,2,68,440.89000000000004,1,3,3,133,Inactive product or newly launched
ASSORTED TUTTI FRUTTI HEART BOX,12,34,268.75,3,3,2,332,Potential products
ASSORTED TUTTI FRUTTI KEYRING BALL,84,23,367.97999999999996,4,2,3,423,Inactive product or newly launched
ASSORTED TUTTI FRUTTI LARGE PURSE,13,24,222.60000000000002,3,2,2,322,Inactive product or newly launched
ASSORTED TUTTI FRUTTI MIRROR,24,31,594.26,4,3,3,433,Potential products
ASSORTED TUTTI FRUTTI NOTEBOOK,1,31,489.30000000000007,1,3,3,133,Inactive product or newly launched
ASSORTED TUTTI FRUTTI PEN,4,92,800.9499999999999,2,4,3,243,Potential products
ASSORTED TUTTI FRUTTI SMALL PURSE,24,31,780.14,4,3,3,433,Potential products
ASSTD COL BUTTERFLY/CRYSTAL W/CHIME,3,9,210.19,2,2,2,222,Inactive product or newly launched
ASSTD DESIGN 3D PAPER STICKERS,2,33,386.83,1,3,3,133,Inactive product or newly launched
ASSTD DESIGN RACING CAR PEN,4,64,1953.0,2,3,4,234,Potential products
ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,15,62,545.1600000000001,3,3,3,333,Potential products
ASSTD MULTICOLOUR CIRCLES MUG,30,47,547.98,4,3,3,433,Potential products
ASSTD RASTA KEY-CHAINS,15,3,3.7800000000000002,3,1,1,311,Inactive product or newly launched
BABUSHKA LIGHTS STRING OF 10,4,116,3032.39,2,4,5,245,Potential products
BABY BOOM RIBBONS ,75,88,467.5,4,4,3,443,Selling consistently
BABY MOUSE RED GINGHAM DRESS,11,21,306.0,3,2,2,322,Inactive product or newly launched
BAG 125g SWIRLY MARBLES,1,247,3431.35,1,5,5,155,Inactive product or newly launched
BAG 250g SWIRLY MARBLES,1,198,3856.3799999999997,1,5,5,155,Inactive product or newly launched
BAG 500g SWIRLY MARBLES,1,112,1299.2099999999998,1,4,4,144,Inactive product or newly launched
BAG OF SILVER STONES,240,5,18.9,5,1,1,511,Inactive product or newly launched
BAKING MOULD CHOCOLATE CUP CAKES,366,2,30.599999999999998,5,1,1,511,Inactive product or newly launched
BAKING MOULD CHOCOLATE CUPCAKES,3,136,2358.89,2,4,4,244,Potential products
BAKING MOULD CUPCAKE CHOCOLATE,361,1,30.599999999999998,5,1,1,511,Inactive product or newly launched
BAKING MOULD EASTER EGG MILK CHOC,5,92,2272.2000000000003,3,4,4,344,Selling consistently
BAKING MOULD EASTER EGG WHITE CHOC,45,69,1527.2,4,3,4,434,Potential products
BAKING MOULD HEART MILK CHOCOLATE,1,146,2513.12,1,4,4,144,Inactive product or newly launched
BAKING MOULD HEART WHITE CHOCOLATE,1,111,1873.51,1,4,4,144,Inactive product or newly launched
BAKING MOULD ROSE MILK CHOCOLATE,1,52,1964.25,1,3,4,134,Inactive product or newly launched
BAKING MOULD ROSE WHITE CHOCOLATE,1,35,766.88,1,3,3,133,Inactive product or newly launched
BAKING MOULD TOFFEE CUP  CHOCOLATE,361,1,15.299999999999999,5,1,1,511,Inactive product or newly launched
BAKING MOULD TOFFEE CUP CHOCOLATE,1,63,1935.6000000000001,1,3,4,134,Inactive product or newly launched
BAKING SET 9 PIECE RETROSPOT ,1,858,22953.100000000002,1,5,5,155,Inactive product or newly launched
BAKING SET SPACEBOY DESIGN,1,427,10210.890000000001,1,5,5,155,Inactive product or newly launched
BALLOON ART MAKE YOUR OWN FLOWERS,1,70,801.45,1,4,3,143,Inactive product or newly launched
BALLOON PUMP WITH 10 BALLOONS,1,112,1511.48,1,4,4,144,Inactive product or newly launched
BALLOON WATER BOMB PACK OF 35,4,141,2244.06,2,4,4,244,Potential products
BALLOONS  WRITING SET ,1,189,1253.9499999999998,1,5,4,154,Inactive product or newly launched
BANK ACCOUNT  GREETING  CARD ,249,17,106.97999999999999,5,2,2,522,Inactive product or newly launched
BANQUET BIRTHDAY  CARD  ,5,100,642.24,3,4,3,343,Selling consistently
BAROQUE BUTTERFLY EARRINGS BLACK,61,2,7.5,4,1,1,411,Inactive product or newly launched
BAROQUE BUTTERFLY EARRINGS CRYSTAL,50,1,3.75,4,1,1,411,Inactive product or newly launched
BASKET OF FLOWERS SEWING KIT,4,42,599.76,2,3,3,233,Potential products
BASKET OF TOADSTOOLS,1,78,1574.98,1,4,4,144,Inactive product or newly launched
BATH BUILDING BLOCK WORD,1,243,4644.530000000001,1,5,5,155,Inactive product or newly launched
BATHROOM HOOK,1,22,137.76,1,2,2,122,Inactive product or newly launched
